StatKey,Influence
ARI,0.0001444240660475538
ATL,-0.0007042652861213376
BAL,-0.001113364702050144
BUF,0.00237843657855742
CAR,0.002353240349465567
CHI,0.0008239950375764231
CIN,-0.0004889323240131669
CLE,0.001893757455836896
DAL,0.0008065762178395162
DEN,-0.0003268104525989236
DET,0.001855829508580815
GB,-0.00122999654011444
HOU,0.002203108191606366
IND,7.927986422561361e-05
JAX,0.000686453315151383
KC,-0.0007973640558855829
LAC,0.0003666160593791529
LAR,-0.001987815107758947
LV,0.0005322202820555378
MIA,0.0001239776404180911
MIN,-0.0009233455136260075
NE,-0.002146685133419038
NO,-2.905176455399544e-05
NYG,0.002526124746464
NYJ,-0.0006916627552526497
PHI,-0.0004908865964469492
PIT,-0.001772267208185414
SEA,-0.001300508302619391
SF,0.0004753961406288604
TB,-0.001065136262524735
TEN,-0.0009041425407531998
WAS,-0.001277200907895308
