game_id,team,season,week,off_tds,rush_tds,pass_tds,implied_total,implied_tds,trailing_off_tds,trailing_rush_tds,trailing_pass_tds,lambda_team,rush_share,lambda_rush,lambda_rec
2026_03_ARI_SF,ARI,2026,3,,,,19.5,2.0837221433332367,1.75,0.25,1.5,1.9777242548256757,0.14285714285714285,0.2825320364036679,1.6951922184220078
2026_03_ATL_GB,ATL,2026,3,,,,19.0,2.0302933704272563,1.0,0.25,0.75,1.8837059564816374,0.25,0.47092648912040935,1.412779467361228
2026_03_BAL_DAL,BAL,2026,3,,,,28.0,2.992011282734904,3.75,2.25,1.5,3.228981453211305,0.6,1.9373888719267829,1.2915925812845221
2026_03_LAC_BUF,BUF,2026,3,,,,28.75,3.0721544420938747,4.0,1.75,2.25,3.341760329631535,0.4375,1.4620201442137966,1.8797401854177382
2026_03_CAR_CLE,CAR,2026,3,,,,22.5,2.4042947807691193,3.5,1.25,2.25,2.453052821445877,0.35714285714285715,0.8760902933735275,1.5769625280723494
2026_03_PHI_CHI,CHI,2026,3,,,,18.5,1.976864597521276,3.25,1.75,1.5,1.8865399018947222,0.5384615384615384,1.015829177943312,0.8707107239514102
2026_03_CIN_PIT,CIN,2026,3,,,,23.0,2.4577235536751,3.0,1.0,2.0,2.506716018224448,0.3333333333333333,0.835572006074816,1.6711440121496324
2026_03_CAR_CLE,CLE,2026,3,,,,20.0,2.1371509162392175,1.0,0.0,1.0,2.023316431291153,0.0,0.0,2.023316431291153
2026_03_BAL_DAL,DAL,2026,3,,,,24.5,2.618009872393041,3.0,1.0,2.0,2.716131730438721,0.3333333333333333,0.9053772434795736,1.8107544869591474
2026_03_LA_DEN,DEN,2026,3,,,,21.0,2.244008462051178,1.75,0.25,1.5,2.1871399670399487,0.14285714285714285,0.31244856671999266,1.8746914003199562
2026_03_NYJ_DET,DET,2026,3,,,,27.0,2.8851537369229434,2.5,0.5,2.0,3.0490158768363216,0.2,0.6098031753672644,2.4392127014690574
2026_03_ATL_GB,GB,2026,3,,,,23.5,2.5111523265810805,2.0,0.0,2.0,2.544237174376831,0.0,0.0,2.544237174376831
2026_03_HOU_IND,HOU,2026,3,,,,22.0,2.350866007863139,1.75,0.75,1.0,2.3267504418494642,0.42857142857142855,0.9971787607926275,1.3295716810568365
2026_03_HOU_IND,IND,2026,3,,,,20.5,2.190579689145198,2.75,1.5,1.25,2.1496188108875662,0.5454545454545454,1.172519351393218,0.9770994594943484
2026_03_NE_JAX,JAX,2026,3,,,,24.25,2.591295485940051,3.0,0.5,2.5,2.681229111736342,0.16666666666666666,0.4468715186227237,2.2343575931136184
2026_03_KC_MIA,KC,2026,3,,,,28.5,3.0454400556408845,2.0,0.5,1.5,3.242289548424407,0.25,0.8105723871061018,2.4317171613183053
2026_03_LA_DEN,LA,2026,3,,,,23.5,2.5111523265810805,2.5,0.75,1.75,2.5603792150030182,0.3,0.7681137645009054,1.7922654505021127
2026_03_LAC_BUF,LAC,2026,3,,,,21.75,2.3241516214101487,1.0,0.5,0.5,2.2676347622078046,0.5,1.1338173811039023,1.1338173811039023
2026_03_LV_NO,LV,2026,3,,,,20.25,2.1638653026922077,1.75,0.0,1.75,2.0824321109328126,0.0,0.0,2.0824321109328126
2026_03_KC_MIA,MIA,2026,3,,,,17.0,1.8165782788033347,1.25,0.25,1.0,1.6125560271757005,0.2,0.3225112054351401,1.2900448217405605
2026_03_MIN_TB,MIN,2026,3,,,,22.0,2.350866007863139,2.0,1.25,0.75,2.334821462162558,0.625,1.4592634138515987,0.8755580483109592
2026_03_NE_JAX,NE,2026,3,,,,21.25,2.2707228485041684,1.25,0.5,0.75,2.2059005451161404,0.4,0.8823602180464563,1.3235403270696842
2026_03_LV_NO,NO,2026,3,,,,23.25,2.4844379401280903,2.75,1.0,1.75,2.533547616613733,0.36363636363636365,0.9212900424049938,1.612257574208739
2026_03_TEN_NYG,NYG,2026,3,,,,20.5,2.190579689145198,2.5,1.25,1.25,2.141547790574472,0.5,1.070773895287236,1.070773895287236
2026_03_NYJ_DET,NYJ,2026,3,,,,20.5,2.190579689145198,1.5,1.0,0.5,2.109263709322098,0.6666666666666666,1.4061758062147318,0.703087903107366
2026_03_PHI_CHI,PHI,2026,3,,,,23.0,2.4577235536751,2.5,0.75,1.75,2.4905739775982605,0.3,0.7471721932794781,1.7434017843187823
2026_03_CIN_PIT,PIT,2026,3,,,,19.5,2.0837221433332367,1.0,0.5,0.5,1.9535111938863947,0.5,0.9767555969431974,0.9767555969431974
2026_03_SEA_WAS,SEA,2026,3,,,,24.0,2.564581099487061,2.5,0.5,2.0,2.6301844524077755,0.2,0.5260368904815551,2.1041475619262204
2026_03_ARI_SF,SF,2026,3,,,,28.0,2.992011282734904,2.75,0.75,2.0,3.1966973719589307,0.2727272727272727,0.8718265559887992,2.3248708159701317
2026_03_MIN_TB,TB,2026,3,,,,20.5,2.190579689145198,1.5,0.5,1.0,2.109263709322098,0.3333333333333333,0.7030879031073659,1.406175806214732
2026_03_TEN_NYG,TEN,2026,3,,,,18.0,1.9234358246152956,1.5,0.75,0.75,1.7602375222983093,0.5,0.8801187611491547,0.8801187611491547
2026_03_SEA_WAS,WAS,2026,3,,,,16.5,1.7631495058973543,2.5,1.25,1.25,1.5831058913364109,0.5,0.7915529456682054,0.7915529456682054
